"","company","market","TSE_code","TSE_name","year","ETR","CETR","STR","HHI","STR_HHI","ROA","SIZE","LEV","INTANG","QUICK","EQINC","OUTINSTI","RELATIN","RELATOUT","FAM_Dum"
"1","1101 台泥","TSE","M1100","水泥工業",2001,NA,NA,5,NA,NA,0.00161679879149827,18.8453167766066,0.659693834106218,0.00673294468703046,49.62,-0.000972005981816753,44.37,0,12,1
"2","1102 亞泥","TSE","M1100","水泥工業",2001,NA,NA,5,NA,NA,0.00513583201438154,18.0419306556483,0.499058128725966,0.00542839096186217,81.21,0.00969073764827501,73.39,12,36,1
"3","1103 嘉泥","TSE","M1100","水泥工業",2001,NA,NA,5,NA,NA,0.00606889266711204,17.516970568971,0.675454281904729,0.0831695217750893,83.34,0.000740722435449153,51.63,76,24,1
"4","1104 環泥","TSE","M1100","水泥工業",2001,NA,NA,5,NA,NA,-0.0120718347648177,16.3869963524541,0.467494856040984,0.0225329248531094,60.62,0.0112572535859455,20.07,0,30,0
"5","1108 幸福","TSE","M1100","水泥工業",2001,NA,NA,5,NA,NA,-0.0393292532415826,16.0858267657571,0.579155694078634,0.00175027797682036,30.58,0.00378612381850814,41.82,0,9,1
"6","1109 信大","TSE","M1100","水泥工業",2001,NA,NA,5,NA,NA,0.00293267885339694,15.6377137128899,0.131337775247835,0.00971680248763595,264.66,0.000498749408088729,17.01,0,10,1
"7","1110 東泥","TSE","M1100","水泥工業",2001,NA,NA,5,NA,NA,-0.0126364780447925,16.1608000965552,0.297127121945779,0.00684112578660586,64.87,-0.00125398920344712,56.87,11,87,1
"8","1101 台泥","TSE","M1100","水泥工業",2002,NA,NA,10,0.32091189115892,0,-0.000688263506699936,18.8884101202943,0.639038684208959,0.00567520468513307,55.25,-0.00960845222064551,43.87,0,11,1
"9","1102 亞泥","TSE","M1100","水泥工業",2002,NA,NA,8,0.32091189115892,0,0.0193004334014445,18.0877475774282,0.504913854714327,0.00759460454472341,91.94,0.0168161769352643,72.41,16,35,1
"10","1103 嘉泥","TSE","M1100","水泥工業",2002,NA,NA,9,0.32091189115892,0,0.0235584489148459,17.3896707563762,0.613425077942009,0.0844667593466552,100.14,0.00219920802827292,53.94,34,15,1
"11","1104 環泥","TSE","M1100","水泥工業",2002,NA,NA,9,0.32091189115892,0,0.0082163747414063,16.3803206749631,0.428922642306352,0.0208482873384679,90.33,0.013094592400942,25.16,6,33,0
"12","1108 幸福","TSE","M1100","水泥工業",2002,NA,NA,10,0.32091189115892,0,0.00694091673955643,16.0930003823129,0.574754234185827,0.00671604371129708,35.04,-0.00294406270604389,38.54,0,8,1
"13","1109 信大","TSE","M1100","水泥工業",2002,NA,NA,8,0.32091189115892,0,0.0720715609959566,15.6716199367939,0.103327924500761,0.0110030125994074,480.29,-0.00270801071389557,16.92,0,9,1
"14","1110 東泥","TSE","M1100","水泥工業",2002,NA,NA,10,0.32091189115892,0,0.0332001172229486,16.1141385318797,0.229229395652249,0.00934691376653819,140.51,-0.0023823084507646,57.92,6,85,1
"15","1101 台泥","TSE","M1100","水泥工業",2003,NA,NA,11,0.326327551069601,0,0.0222556768183856,18.834605620432,0.614847819406896,0.00959418446807651,73.93,-0.0264468632844479,42.44,0,12,1
"16","1102 亞泥","TSE","M1100","水泥工業",2003,NA,NA,8,0.326327551069601,0,0.0422141322569478,18.2186870247913,0.48783994704394,0.0019395421412648,74.85,0.0292324296243474,73.77,0,30,1
"17","1103 嘉泥","TSE","M1100","水泥工業",2003,NA,NA,9,0.326327551069601,0,0.0361876512756746,17.3207120658038,0.610739118553025,0.0870431944387659,103.63,0.00188301236677279,52.91,16,14,1
"18","1104 環泥","TSE","M1100","水泥工業",2003,NA,NA,9,0.326327551069601,0,0.0445886915074784,16.4095000619042,0.407936691893339,0.018427703027791,115.37,0.0214153612287536,15.99,10,27,0
"19","1108 幸福","TSE","M1100","水泥工業",2003,NA,NA,12,0.326327551069601,0,0.00900346532248908,16.0873202079094,0.568722502259219,0.0154225052395433,36.21,-0.00480038379145241,38.48,0,9,1
"20","1109 信大","TSE","M1100","水泥工業",2003,NA,NA,10,0.326327551069601,0,0.0431193845034302,15.6834841845419,0.140770686509465,0.0126796827631494,353.55,-0.000806929618131562,15.07,0,10,1
"21","1110 東泥","TSE","M1100","水泥工業",2003,NA,NA,12,0.326327551069601,0,0.0375016324845293,16.1034500254408,0.213939647135742,0.00702584810298448,100.06,0.0041036627422432,59.43,1,80,1
"22","1101 台泥","TSE","M1100","水泥工業",2004,NA,NA,11,0.336730078137656,0,0.0534344275104936,18.823667209429,0.587942280898799,0.00448347249829084,102.71,-0.00133134918587524,46.83,7,16,1
"23","1102 亞泥","TSE","M1100","水泥工業",2004,NA,NA,10,0.336730078137656,0,0.0784605085763731,18.2690310357534,0.451913554182449,1.17539003718224e-05,75.29,0.0332647588436665,74.9,0,25,1
"24","1103 嘉泥","TSE","M1100","水泥工業",2004,NA,NA,11,0.336730078137656,0,0.0263755805284448,17.2984426611906,0.591871113523846,0.0791585339006065,122.89,0.00142494078566091,51.69,62,19,1
"25","1104 環泥","TSE","M1100","水泥工業",2004,NA,NA,12,0.336730078137656,0,0.0464092540134948,16.4850878782169,0.415987344209282,0.0134829425821923,115.6,0.0176498092991989,12.38,11,24,0
"26","1108 幸福","TSE","M1100","水泥工業",2004,NA,NA,12,0.336730078137656,0,0.0307612499490567,16.0663646818578,0.544367677519521,0.0142775106959961,39.16,0,43.64,0,14,1
