old,new,type
當季季底P/B_2005,PB_2005,numeric
當季季底P/B_2004,PB_2004,numeric
當季季底P/B_2003,PB_2003,numeric
當季季底P/B_2002,PB_2002,numeric
當季季底P/B_2001,PB_2001,numeric
固定資產_2015,FA_2015,numeric
固定資產_2014,FA_2014,numeric
固定資產_2013,FA_2013,numeric
固定資產_2012,FA_2012,numeric
固定資產_2011,FA_2011,numeric
固定資產_2010,FA_2010,numeric
固定資產_2009,FA_2009,numeric
固定資產_2008,FA_2008,numeric
固定資產_2007,FA_2007,numeric
固定資產_2006,FA_2006,numeric
固定資產_2005,FA_2005,numeric
固定資產_2004,FA_2004,numeric
固定資產_2003,FA_2003,numeric
固定資產_2002,FA_2002,numeric
固定資產_2001,FA_2001,numeric
土地成本_2015,Land_2015,numeric
土地成本_2014,Land_2014,numeric
土地成本_2013,Land_2013,numeric
土地成本_2012,Land_2012,numeric
土地成本_2011,Land_2011,numeric
土地成本_2010,Land_2010,numeric
土地成本_2009,Land_2009,numeric
土地成本_2008,Land_2008,numeric
土地成本_2007,Land_2007,numeric
土地成本_2006,Land_2006,numeric
土地成本_2005,Land_2005,numeric
土地成本_2004,Land_2004,numeric
土地成本_2003,Land_2003,numeric
土地成本_2002,Land_2002,numeric
土地成本_2001,Land_2001,numeric
重估增值─土地_2015,LandR_2015,numeric
重估增值─土地_2014,LandR_2014,numeric
重估增值─土地_2013,LandR_2013,numeric
重估增值─土地_2012,LandR_2012,numeric
重估增值─土地_2011,LandR_2011,numeric
重估增值─土地_2010,LandR_2010,numeric
重估增值─土地_2009,LandR_2009,numeric
重估增值─土地_2008,LandR_2008,numeric
重估增值─土地_2007,LandR_2007,numeric
重估增值─土地_2006,LandR_2006,numeric
重估增值─土地_2005,LandR_2005,numeric
重估增值─土地_2004,LandR_2004,numeric
重估增值─土地_2003,LandR_2003,numeric
重估增值─土地_2002,LandR_2002,numeric
重估增值─土地_2001,LandR_2001,numeric
營業收入毛額_2015,GrossSales_2015,numeric
營業收入毛額_2014,GrossSales_2014,numeric
營業收入毛額_2013,GrossSales_2013,numeric
營業收入毛額_2012,GrossSales_2012,numeric
營業收入毛額_2011,GrossSales_2011,numeric
營業收入毛額_2010,GrossSales_2010,numeric
營業收入毛額_2009,GrossSales_2009,numeric
營業收入毛額_2008,GrossSales_2008,numeric
營業收入毛額_2007,GrossSales_2007,numeric
營業收入毛額_2006,GrossSales_2006,numeric
營業收入毛額_2005,GrossSales_2005,numeric
